comarca,municipio
Comarca Integrada de Bayeux e Santa Rita,Bayeux
Comarca Integrada de Bayeux e Santa Rita,Santa Rita
Comarca Integrada de Princesa Isabel e Água Branca,Princesa Isabel
Comarca Integrada de Princesa Isabel e Água Branca,Água Branca
Comarca Integrada do Litoral Sul,Alhandra
Comarca Integrada do Litoral Sul,Caaporã
Comarca Integrada do Litoral Sul,Conde
Comarca de Alagoa Grande,Alagoa Grande
Comarca de Alagoa Grande,Juarez Távora
Comarca de Alagoa Nova,Alagoa Nova
Comarca de Alagoa Nova,Matinhas
Comarca de Alagoinha,Alagoinha
Comarca de Alagoinha,Matinhas
Comarca de Alagoinha,Mulungu
Comarca de Araruna,Araruna
Comarca de Araruna,Cacimba de Dentro
Comarca de Araruna,Riachão
Comarca de Araruna,Tacima
Comarca de Areia,Areia
Comarca de Bananeiras,Bananeiras
Comarca de Bananeiras,Borborema
Comarca de Bananeiras,Serraria
Comarca de Belém,Belém
Comarca de Belém,Caiçara
Comarca de Belém,Dona Inês
Comarca de Boqueirão,Alcantil
Comarca de Boqueirão,Barra de Santana
Comarca de Boqueirão,Barra de São Miguel
Comarca de Boqueirão,Boqueirão
Comarca de Boqueirão,Cabaceiras
Comarca de Boqueirão,Riacho de Santo Antônio
Comarca de Boqueirão,São Domingos do Cariri
Comarca de Cabedelo,Cabedelo
Comarca de Cabedelo,Lucena
Comarca de Cajazeiras,Bom Jesus
Comarca de Cajazeiras,Cachoeira dos Índios
Comarca de Cajazeiras,Cajazeiras
Comarca de Campina Grande,Boa Vista
Comarca de Campina Grande,Campina Grande
Comarca de Campina Grande,Lagoa Seca
Comarca de Campina Grande,Massaranduba
Comarca de Catolé do Rocha,Belém do Brejo do Cruz
Comarca de Catolé do Rocha,Bom Sucesso
Comarca de Catolé do Rocha,Brejo do Cruz
Comarca de Catolé do Rocha,Brejo dos Santos
Comarca de Catolé do Rocha,Catolé do Rocha
Comarca de Catolé do Rocha,Jericó
Comarca de Catolé do Rocha,Mato Grosso
Comarca de Catolé do Rocha,Riacho dos Cavalos
Comarca de Catolé do Rocha,São José do Brejo do Cruz
Comarca de Conceição,Conceição
Comarca de Conceição,Ibiara
Comarca de Conceição,Santa Inês
Comarca de Conceição,Santana de Mangueira
Comarca de Coremas,Coremas
Comarca de Cuité,Barra de Santa Rosa
Comarca de Cuité,Cuité
Comarca de Cuité,Damião
Comarca de Cuité,Nova Floresta
Comarca de Cuité,Sossêgo
Comarca de Esperança,Areial
Comarca de Esperança,Esperança
Comarca de Esperança,Montadas
Comarca de Esperança,São Sebastião de Lagoa de Roça
Comarca de Guarabira,Araçagi
Comarca de Guarabira,Cuitegi
Comarca de Guarabira,Duas Estradas
Comarca de Guarabira,Guarabira
Comarca de Guarabira,Pilões
